file,peak_linear_acc_mps2,peak_rotational_acc_rads2
Rugby1228.xlsx,15.7584,1078.7318
Rugby1229.xlsx,13.7643,1214.9086
Rugby123.xlsx,12.1253,474.9552
Rugby1230.xlsx,9.2812,817.5548
Rugby1231.xlsx,12.2887,962.8930
Rugby1232.xlsx,10.2353,1297.8868
Rugby1233.xlsx,7.2777,633.0133
Rugby1234.xlsx,65.6043,6863.7710
Rugby1235.xlsx,16.7948,981.5501
Rugby1236.xlsx,27.1865,2649.9101
Rugby1237.xlsx,13.1848,1388.0090
Rugby1238.xlsx,29.9660,2979.9238
Rugby1239.xlsx,11.8586,972.8705
Rugby124.xlsx,15.4767,1197.4701
Rugby1240.xlsx,18.1281,788.5765
Rugby1241.xlsx,12.5468,1241.3175
Rugby1242.xlsx,9.0670,807.8755
Rugby1243.xlsx,18.2413,517.1534
Rugby1244.xlsx,39.6418,4496.3195
Rugby1245.xlsx,27.3882,2635.9002
Rugby1246.xlsx,7.5647,387.7805
Rugby1247.xlsx,35.2850,1835.9133
Rugby1248.xlsx,17.9653,702.7099
Rugby1249.xlsx,10.2302,691.3628
Rugby125.xlsx,22.6846,1267.7989
Rugby1250.xlsx,46.0084,5620.9784
Rugby1251.xlsx,14.3215,1161.6372
Rugby1252.xlsx,30.0489,3655.4777
Rugby1253.xlsx,11.9293,2259.7329
Rugby1254.xlsx,10.4783,1301.0063
Rugby1255.xlsx,13.3089,971.7302
Rugby1256.xlsx,22.3690,3502.1816
Rugby1257.xlsx,17.3495,2170.4040
Rugby1258.xlsx,6.3877,489.1744
Rugby1259.xlsx,14.1474,1660.6492
Rugby126.xlsx,22.7948,1401.8138
Rugby1260.xlsx,13.2688,1490.4310
Rugby1261.xlsx,26.4370,1513.2985
Rugby1262.xlsx,11.5634,862.6916
Rugby1263.xlsx,15.3869,3038.6236
Rugby1264.xlsx,21.1594,2347.0532
Rugby1265.xlsx,20.2446,1799.4867
Rugby1266.xlsx,24.4693,2495.4459
Rugby1267.xlsx,17.5971,1460.9581
Rugby1268.xlsx,29.2626,3474.9379
Rugby1269.xlsx,18.1421,1993.3716
Rugby127.xlsx,4.9760,576.1162
Rugby1270.xlsx,60.9333,7404.4283
Rugby1271.xlsx,14.9559,1144.3802
Rugby1272.xlsx,19.7256,1781.2981
Rugby1273.xlsx,61.7537,6420.8090
Rugby1274.xlsx,14.7191,1520.9977
Rugby1275.xlsx,28.0852,2104.4643
Rugby1276.xlsx,24.6049,2560.6959
Rugby1277.xlsx,25.8429,3002.2353
Rugby1278.xlsx,19.1229,2012.5427
Rugby1279.xlsx,19.8740,1049.9012
Rugby128.xlsx,24.5845,2999.1218
Rugby1280.xlsx,16.2599,1477.0986
Rugby1281.xlsx,12.3008,1353.6851
Rugby1282.xlsx,18.1159,933.4977
Rugby1283.xlsx,15.5574,4692.7264
Rugby1284.xlsx,9.7283,490.8546
Rugby1285.xlsx,28.7253,2043.9223
Rugby1286.xlsx,22.9612,2527.9328
Rugby1287.xlsx,7.6739,1012.3109
